product_id,product_name,region,shipping_date,country,city,subcategory,customer_id,customer_name,province,category,customer_type,row_id,shipping_standard,shipping_status,order_id,order_date,profit,days_before_shipping_actual,days_before_shipping_planned,discount,amount,sales,predicted_sales
技术-Equipment-10000001,"爱普生 计算器, 耐用",NW,2019/12/24,中国,榆林,Equipment,谢雯-21700,谢雯,陕西,Technology,Small Business,11,二级,提前装运,CN-2019-4195213,2019/12/22,4,2,￥3,0%,2,434,￥650
技术-复印-10002416,"惠普 墨水, 红色",NE,2022/6/6,中国,哈尔滨,Copier,康青-19585,康青,黑龙江,Technology,Consumer,12,标准级,提前装运,CN-2022-5801711,2022/6/1,640,5,￥6,0%,4,2369,"￥3,548"
办公用-Envelope-10000017,"Jiffy 局间Envelope, 银色",E,2020/6/9,中国,青岛,Envelope,赵婵-10885,赵婵,山东,Office Supplies,Consumer,13,标准级,提前装运,CN-2020-2752724,2020/6/5,89,4,￥6,0%,3,684,"￥1,024"
技术-Accessories-10004920,"SanDisk 键区, 可编程",E,2020/6/9,中国,青岛,Accessories,赵婵-10885,赵婵,山东,Technology,Consumer,14,标准级,提前装运,CN-2020-2752724,2020/6/5,344,4,￥6,0%,5,1327,"￥1,987"
技术-Telephone-10004349,"诺基亚 充电器, 蓝色",E,2020/6/9,中国,青岛,Telephone,赵婵-10885,赵婵,山东,Technology,Consumer,15,标准级,提前装运,CN-2020-2752724,2020/6/5,2849,4,￥6,0%,2,5937,"￥8,891"
办公用-Tool-10003582,"KitchenAid 冰箱, 黑色",E,2021/11/25,中国,徐州,Tool,刘斯-20965,刘斯云,江苏,Office Supplies,Business,16,一级,延迟装运,US-2021-2511714,2021/11/22,-3963,3,￥1,40%,7,10336,"￥15,480"
办公用-Label-10004648,"Novimex 圆形Label, 红色",E,2021/11/25,中国,徐州,Label,刘斯-20965,刘斯云,江苏,Office Supplies,Business,17,一级,延迟装运,US-2021-2511714,2021/11/22,38,3,￥1,0%,3,85,￥128
技术-Accessories-10001200,"Memorex 键盘, 实惠",E,2022/10/4,中国,上海,Accessories,白鹄-14050,白鹄,上海,Technology,Consumer,18,二级,提前装运,CN-2022-5631342,2022/10/2,1071,2,￥3,0%,7,2330,"￥3,490"
办公用-Supplies-10000039,"Acme 尺子, 工业",E,2022/10/4,中国,上海,Supplies,白鹄-14050,白鹄,上海,Office Supplies,Consumer,19,二级,提前装运,CN-2022-5631342,2022/10/2,24,2,￥3,0%,1,86,￥128
办公用-装订-10004589,"Avery 孔加固材料, 耐用",E,2022/10/4,中国,上海,Binding Machine,白鹄-14050,白鹄,上海,Office Supplies,Consumer,20,二级,提前装运,CN-2022-5631342,2022/10/2,2,2,￥3,0%,5,138,￥207
办公用-装订-10004369,"Cardinal Binding Machine, 回收",E,2022/10/4,中国,上海,Binding Machine,白鹄-14050,白鹄,上海,Office Supplies,Consumer,21,二级,提前装运,CN-2022-5631342,2022/10/2,127,2,￥3,0%,6,397,￥595
技术-Telephone-10002777,"三星 办公室Telephone机, 整包",E,2022/10/4,中国,上海,Telephone,白鹄-14050,白鹄,上海,Technology,Consumer,22,二级,提前装运,CN-2022-5631342,2022/10/2,959,2,￥3,0%,7,2133,"￥3,195"
技术-复印-10002045,"Hewlett 传真机, 数字化",E,2022/10/4,中国,上海,Copier,白鹄-14050,白鹄,上海,Technology,Consumer,23,二级,提前装运,CN-2022-5631342,2022/10/2,1163,2,￥3,0%,3,4474,"￥6,700"
办公用-Supplies-10004353,"Elite 开信刀, 工业",E,2022/10/4,中国,上海,Supplies,白鹄-14050,白鹄,上海,Office Supplies,Consumer,24,二级,提前装运,CN-2022-5631342,2022/10/2,119,2,￥3,0%,2,270,￥404
家具-Bookshelf-10004730,"Sauder Bookshelf, 金属",E,2021/6/14,中国,温岭,Bookshelf,贾彩-10600,贾彩,浙江,Furniture,Business,25,标准级,延迟装运,US-2021-4150614,2021/6/7,-464,7,￥6,40%,4,1638,"￥2,454"
家具-Chair-10002386,"Office Star 摇椅, 可调",E,2021/6/14,中国,温岭,Chair,贾彩-10600,贾彩,浙江,Furniture,Business,26,标准级,延迟装运,US-2021-4150614,2021/6/7,60,7,￥6,40%,3,1205,"￥1,804"
办公用-系固-10003889,"OIC 图钉, 金属",E,2021/6/14,中国,温岭,Fastener,贾彩-10600,贾彩,浙江,Office Supplies,Business,27,标准级,延迟装运,US-2021-4150614,2021/6/7,-17,7,￥6,40%,5,199,￥298
办公用-系固-10003118,"Accos 图钉, 混合尺寸",E,2021/6/14,中国,温岭,Fastener,贾彩-10600,贾彩,浙江,Office Supplies,Business,28,标准级,延迟装运,US-2021-4150614,2021/6/7,-59,7,￥6,40%,8,249,￥373
办公用-Supplies-10002717,"Fiskars 剪刀, 蓝色",E,2021/6/14,中国,温岭,Supplies,贾彩-10600,贾彩,浙江,Office Supplies,Business,29,标准级,延迟装运,US-2021-4150614,2021/6/7,-182,7,￥6,40%,6,389,￥583
技术-Accessories-10003585,"罗技 路由器, 实惠",E,2021/6/14,中国,温岭,Accessories,贾彩-10600,贾彩,浙江,Technology,Business,30,标准级,延迟装运,US-2021-4150614,2021/6/7,-35,7,￥6,40%,1,692,"￥1,037"
家具-Utensil-10001174,"Tenex 灯泡, 黑色",E,2021/6/14,中国,温岭,Utensil,贾彩-10600,贾彩,浙江,Furniture,Business,31,标准级,延迟装运,US-2021-4150614,2021/6/7,-9,7,￥6,40%,2,106,￥159
办公用-装订-10004816,"Wilson Jones Label, 回收",E,2022/12/15,中国,上海,Binding Machine,马丽-15910,马丽,上海,Office Supplies,Consumer,32,二级,准时装运,CN-2022-4364300,2022/12/12,73,3,￥3,0%,5,159,￥238
办公用-收纳-10001942,"Fellowes 文件车, 金属",N,2022/10/2,中国,唐山,Storage Tool,宋栋-12310,宋栋,河北,Office Supplies,Business,33,二级,延迟装运,CN-2022-3230180,2022/9/28,585,4,￥3,0%,2,1273,"￥1,906"
家具-Chair-10000374,"Harbour Creations 椅垫, 可调",N,2022/10/2,中国,唐山,Chair,宋栋-12310,宋栋,河北,Furniture,Business,34,二级,延迟装运,CN-2022-3230180,2022/9/28,799,4,￥3,0%,5,1738,"￥2,603"
家具-Bookshelf-10002226,"Dania Bookshelf, 白色",E,2021/11/23,中国,宁波,Bookshelf,巩虢-13495,巩虢,浙江,Furniture,Business,35,标准级,提前装运,US-2021-1966627,2021/11/19,-487,4,￥6,40%,4,1390,"￥2,082"
家具-Utensil-10002645,"Advantus 灯泡, 耐用",E,2021/3/1,中国,上海,Utensil,常松-20575,常松,上海,Furniture,Consumer,36,一级,准时装运,CN-2021-1190387,2021/2/28,0,1,￥1,0%,5,399,￥598
办公用-Art-10001683,"Boston 画布, 蓝色",E,2021/9/6,中国,厦门,Art,田黎-16450,田黎明,福建,Office Supplies,Business,37,二级,准时装运,CN-2021-3216455,2021/9/3,32,3,￥3,0%,1,250,￥375
办公用-Paper-10003357,"Green Bar 笔记本, 优质",E,2021/9/21,中国,宿州,Paper,谭乐-17815,谭乐,安徽,Office Supplies,Consumer,38,标准级,提前装运,CN-2021-4690757,2021/9/17,400,4,￥6,0%,6,834,"￥1,249"
办公用-收纳-10002029,"Smead 盘, 工业",E,2021/9/21,中国,宿州,Storage Tool,谭乐-17815,谭乐,安徽,Office Supplies,Consumer,39,标准级,提前装运,CN-2021-4690757,2021/9/17,78,4,￥6,0%,1,228,￥342
家具-Table-10001094,"Lesro 培训桌, 长方形",E,2021/9/21,中国,宿州,Table,谭乐-17815,谭乐,安徽,Furniture,Consumer,40,标准级,提前装运,CN-2021-4690757,2021/9/17,-211,4,￥6,25%,1,932,"￥1,396"
办公用-Paper-10002597,"SanDisk 羊皮纸, 每包 12 个",NW,2021/7/5,中国,兰州,Paper,徐岱-11875,徐岱,甘肃,Office Supplies,Business,41,一级,延迟装运,CN-2021-4674220,2021/7/2,108,3,￥1,0%,3,292,￥437
办公用-Tool-10004757,"Breville 炉灶, 黑色",E,2021/8/1,中国,淮阴,Tool,武杰-14815,武杰,江苏,Office Supplies,Small Business,42,标准级,准时装运,US-2021-3857264,2021/7/26,-2043,6,￥6,40%,6,9424,"￥14,114"
办公用-Tool-10003452,"KitchenAid 搅拌机, 黑色",NE,2021/12/26,中国,肇源,Tool,吕兰-15700,吕兰,黑龙江,Office Supplies,Consumer,43,二级,提前装运,CN-2021-4054371,2021/12/24,1651,2,￥3,0%,9,4128,"￥6,182"
办公用-收纳-10004212,"Fellowes 锁柜, 蓝色",E,2019/5/22,中国,南昌,Storage Tool,唐婉-21385,唐婉,江西,Office Supplies,Small Business,44,二级,延迟装运,CN-2019-2932548,2019/5/17,0,5,￥3,0%,2,1935,"￥2,898"
办公用-Art-10001691,"Sanford 钢笔, 混合尺寸",E,2019/5/22,中国,南昌,Art,唐婉-21385,唐婉,江西,Office Supplies,Small Business,45,二级,延迟装运,CN-2019-2932548,2019/5/17,50,5,￥3,0%,4,267,￥399
办公用-装订-10000749,"Ibico 打孔机, 透明",E,2021/7/20,中国,合肥,Binding Machine,葛毅-12505,葛毅,安徽,Office Supplies,Consumer,46,标准级,提前装运,CN-2021-3476344,2021/7/16,237,4,￥6,0%,5,698,"￥1,045"
办公用-Art-10001467,"Boston 速写本, 蓝色",SW,2021/6/18,中国,内江,Art,邹涛-21265,邹涛,四川,Office Supplies,Business,47,二级,提前装运,US-2021-5956361,2021/6/16,-1021,2,￥3,80%,6,272,￥408
技术-Telephone-10004349,"诺基亚 充电器, 蓝色",SW,2021/6/18,中国,内江,Telephone,邹涛-21265,邹涛,四川,Technology,Business,48,二级,提前装运,US-2021-5956361,2021/6/16,237,2,￥3,40%,1,1781,"￥2,667"
办公用-Envelope-10002675,"Ames 邮寄品, 银色",SW,2021/6/18,中国,内江,Envelope,邹涛-21265,邹涛,四川,Office Supplies,Business,49,二级,提前装运,US-2021-5956361,2021/6/16,150,2,￥3,0%,2,357,￥535
技术-Telephone-10004015,"思科 充电器, 全尺寸",NE,2022/6/22,中国,蛟河,Telephone,薛磊-15985,薛磊,吉林,Technology,Consumer,50,二级,准时装运,CN-2022-2396895,2022/6/19,1340,3,￥3,0%,4,12183,"￥18,246"
技术-复印-10003216,"Hewlett 传真机, 彩色",NE,2022/6/22,中国,蛟河,Copier,薛磊-15985,薛磊,吉林,Technology,Consumer,51,二级,准时装运,CN-2022-2396895,2022/6/19,1229,3,￥3,0%,2,2999,"￥4,492"
办公用-收纳-10000501,"Tenex 盘, 工业",NE,2022/6/22,中国,蛟河,Storage Tool,薛磊-15985,薛磊,吉林,Office Supplies,Consumer,52,二级,准时装运,CN-2022-2396895,2022/6/19,225,3,￥3,0%,2,510,￥764
办公用-Tool-10000297,"Hamilton Beach 炉灶, 黑色",E,2021/5/26,中国,青岛,Tool,苏晒-19825,苏晒明,山东,Office Supplies,Consumer,53,标准级,提前装运,CN-2021-2828982,2021/5/22,3539,4,￥6,0%,5,12641,"￥18,932"
办公用-Tool-10002796,"Hamilton Beach 烤面包机, 银色",E,2021/5/26,中国,青岛,Tool,苏晒-19825,苏晒明,山东,Office Supplies,Consumer,54,标准级,提前装运,CN-2021-2828982,2021/5/22,217,4,￥6,0%,5,1359,"￥2,036"
办公用-收纳-10000932,"Rogers 文件夹, 蓝色",E,2021/5/26,中国,青岛,Storage Tool,苏晒-19825,苏晒明,山东,Office Supplies,Consumer,55,标准级,提前装运,CN-2021-2828982,2021/5/22,69,4,￥6,0%,1,143,￥214
办公用-Supplies-10003822,"Acme 开信刀, 蓝色",NE,2022/1/4,中国,沈阳,Supplies,林丹-11980,林丹,辽宁,Office Supplies,Consumer,56,标准级,提前装运,US-2021-4297166,2021/12/31,-130,4,￥6,40%,4,338,￥507
办公用-系固-10003020,"Stockwell 订书钉, 每包 12 个",NE,2022/1/4,中国,沈阳,Fastener,林丹-11980,林丹,辽宁,Office Supplies,Consumer,57,标准级,提前装运,US-2021-4297166,2021/12/31,-72,4,￥6,40%,5,138,￥206
办公用-系固-10004142,"Accos 按钉, 整包",NE,2022/1/4,中国,沈阳,Fastener,林丹-11980,林丹,辽宁,Office Supplies,Consumer,58,标准级,提前装运,US-2021-4297166,2021/12/31,-41,4,￥6,40%,3,122,￥183
家具-Bookshelf-10001540,"Dania 古典Bookshelf, 白色",S,2021/10/7,中国,黄石,Bookshelf,徐健-14590,徐健,湖北,Furniture,Business,59,标准级,准时装运,US-2021-4292548,2021/10/1,-695,6,￥6,40%,2,2314,"￥3,466"
办公用-收纳-10002943,"Smead 文件车, 蓝色",NW,2022/11/23,中国,西安,Storage Tool,麦虹-13855,麦虹,陕西,Office Supplies,Business,60,标准级,延迟装运,CN-2022-4838467,2022/11/16,455,7,￥6,0%,2,1198,"￥1,795"
技术-复印-10001943,"佳能 传真机, 红色",S,2019/8/27,中国,阳江,Copier,袁保-10405,袁保,广东,Technology,Business,61,二级,准时装运,CN-2019-3232413,2019/8/24,1152,3,￥3,0%,2,2955,"￥4,425"
技术-Equipment-10004500,"松下 Telephone, 耐用",S,2021/6/10,中国,邓州,Equipment,马丽-16480,马丽娜,河南,Technology,Consumer,62,一级,延迟装运,CN-2021-4162714,2021/6/7,332,3,￥1,0%,7,2775,"￥4,156"
办公用-Label-10002381,"Harbour Creations 运输Label, 耐用",E,2019/1/23,中国,曲阜,Label,谭君-15265,谭君,山东,Office Supplies,Business,63,一级,延迟装运,CN-2019-4497265,2019/1/21,132,2,￥1,0%,5,277,￥414
办公用-系固-10004216,"Stockwell 回形针, 混合尺寸",E,2019/1/23,中国,曲阜,Fastener,谭君-15265,谭君,山东,Office Supplies,Business,64,一级,延迟装运,CN-2019-4497265,2019/1/21,51,2,￥1,0%,5,256,￥383
技术-Equipment-10003635,"StarTech 打印机, 耐用",S,2022/9/17,中国,湛江,Equipment,钱伟-21430,钱伟,广东,Technology,Business,65,二级,提前装运,CN-2022-5922906,2022/9/15,382,2,￥3,0%,4,4784,"￥7,165"
办公用-Tool-10003836,"Hoover 微波炉, 黑色",S,2019/12/24,中国,孝感,Tool,陶武-21880,陶武,湖北,Office Supplies,Business,66,标准级,提前装运,US-2019-3767771,2019/12/19,-3106,5,￥6,40%,8,6901,"￥10,335"
办公用-Art-10002740,"Stanley 速写本, 蓝色",S,2019/11/1,中国,浏阳,Art,陶聪-11725,陶聪,湖南,Office Supplies,Consumer,67,当日,延迟装运,US-2019-1166331,2019/10/31,-37,1,￥0,20%,3,498,￥745
办公用-Paper-10002104,"Green Bar 计划信息表, 每包 12 个",S,2019/11/1,中国,浏阳,Paper,陶聪-11725,陶聪,湖南,Office Supplies,Consumer,68,当日,延迟装运,US-2019-1166331,2019/10/31,23,1,￥0,0%,3,391,￥586
技术-Accessories-10003980,"SanDisk 路由器, 耐用",NE,2021/3/16,中国,哈尔滨,Accessories,韩凤-12820,韩凤,黑龙江,Technology,Small Business,69,二级,延迟装运,CN-2021-3064620,2021/3/11,934,5,￥3,0%,3,3592,"￥5,379"
办公用-Label-10004567,"Smead 有色Label, 红色",E,2020/10/2,中国,滕州,Label,涂博-10585,涂博,山东,Office Supplies,Consumer,70,二级,延迟装运,CN-2020-3188191,2020/9/27,150,5,￥3,0%,5,300,￥450
办公用-Envelope-10002784,"Kraft 搭扣Envelope, 红色",N,2020/9/18,中国,北京,Envelope,钟庆-19510,钟庆缘,北京,Office Supplies,Small Business,71,一级,延迟装运,CN-2020-5717181,2020/9/15,125,3,￥1,0%,5,293,￥438
家具-Bookshelf-10000904,"宜家 Bookshelf, 传统",N,2020/9/18,中国,北京,Bookshelf,钟庆-19510,钟庆缘,北京,Furniture,Small Business,72,一级,延迟装运,CN-2020-5717181,2020/9/15,63,3,￥1,0%,1,572,￥857
技术-Telephone-10000393,"三星 信号增强器, 全尺寸",SW,2022/10/28,中国,重庆,Telephone,孟刚-13180,孟刚,重庆,Technology,Business,73,二级,提前装运,CN-2022-2187292,2022/10/26,811,2,￥3,0%,3,1930,"￥2,891"
办公用-Envelope-10003279,"Kraft 邮寄品, 每套 50 个",SW,2022/10/28,中国,重庆,Envelope,孟刚-13180,孟刚,重庆,Office Supplies,Business,74,二级,提前装运,CN-2022-2187292,2022/10/26,47,2,￥3,0%,3,527,￥789
技术-Telephone-10001992,"三星 充电器, 全尺寸",SW,2022/10/28,中国,重庆,Telephone,孟刚-13180,孟刚,重庆,Technology,Business,75,二级,提前装运,CN-2022-2187292,2022/10/26,595,2,￥3,0%,1,2975,"￥4,455"
办公用-Supplies-10001427,"Elite 大剪刀, 蓝色",E,2019/2/6,中国,椒江,Supplies,黄丽-15835,黄丽,浙江,Office Supplies,Consumer,76,二级,延迟装运,US-2019-3275681,2019/2/2,-33,4,￥3,40%,5,658,￥986
办公用-系固-10000833,"Accos 橡皮筋, 每包 12 个",NW,2019/12/27,中国,西安,Fastener,倪幂-18085,倪幂,陕西,Office Supplies,Consumer,77,标准级,提前装运,CN-2019-5821791,2019/12/23,24,4,￥6,0%,2,150,￥225
办公用-Label-10000918,"Hon 圆形Label, 耐用",NW,2019/12/27,中国,西安,Label,倪幂-18085,倪幂,陕西,Office Supplies,Consumer,78,标准级,提前装运,CN-2019-5821791,2019/12/23,16,4,￥6,0%,3,99,￥148
办公用-Label-10002018,"Novimex 合法证物Label, 可调",NW,2019/12/27,中国,西安,Label,倪幂-18085,倪幂,陕西,Office Supplies,Consumer,79,标准级,提前装运,CN-2019-5821791,2019/12/23,16,4,￥6,0%,2,78,￥117
办公用-Label-10002541,"Harbour Creations 运输Label, 可调",E,2021/3/16,中国,南昌,Label,钱珊-19855,钱珊,江西,Office Supplies,Business,80,标准级,提前装运,CN-2021-4126497,2021/3/11,84,5,￥6,0%,14,612,￥916
办公用-Supplies-10003186,"Kleencut 尺子, 钢",E,2021/3/16,中国,南昌,Supplies,钱珊-19855,钱珊,江西,Office Supplies,Business,81,标准级,提前装运,CN-2021-4126497,2021/3/11,36,5,￥6,0%,2,121,￥181
技术-复印-10002908,"佳能 Copier, 数字化",NW,2021/8/8,中国,西安,Copier,彭雯-21790,彭雯,陕西,Technology,Consumer,82,当日,准时装运,CN-2021-1751343,2021/8/8,440,0,￥0,0%,2,2443,"￥3,659"
技术-复印-10004933,"夏普 墨水, 每套两件",NE,2020/8/27,中国,叶柏寿,Copier,谢雯-21700,谢雯,辽宁,Technology,Small Business,83,二级,延迟装运,US-2020-1803838,2020/8/22,-395,5,￥3,40%,2,697,"￥1,043"
办公用-Label-10002776,"Novimex 圆形Label, 可调",NE,2020/8/27,中国,叶柏寿,Label,谢雯-21700,谢雯,辽宁,Office Supplies,Small Business,84,二级,延迟装运,US-2020-1803838,2020/8/22,26,5,￥3,0%,3,58,￥87
办公用-Envelope-10002440,"Ames 外皮和封条, 回收",E,2019/6/6,中国,上海,Envelope,韦立-16915,韦立,上海,Office Supplies,Consumer,85,标准级,提前装运,CN-2019-4861225,2019/6/1,194,5,￥6,0%,7,571,￥856
家具-Utensil-10002471,"Tenex 分层置放架, 黑色",E,2019/6/6,中国,上海,Utensil,韦立-16915,韦立,上海,Furniture,Consumer,86,标准级,提前装运,CN-2019-4861225,2019/6/1,123,5,￥6,0%,5,589,￥882
办公用-Label-10000895,"Harbour Creations 有色Label, 可调",NW,2022/6/2,中国,西宁,Label,熊丽-15805,熊丽,青海,Office Supplies,Business,87,二级,延迟装运,CN-2022-3172853,2022/5/28,45,5,￥3,0%,6,302,￥453
家具-Utensil-10001977,"Eldon 框架, 优质",SW,2021/7/26,中国,绵阳,Utensil,曾康-15445,曾康,四川,Furniture,Consumer,88,当日,准时装运,CN-2021-5552260,2021/7/26,193,0,￥0,40%,6,1930,"￥2,890"
技术-Telephone-10002696,"思科 充电器, 混合尺寸",S,2019/12/18,中国,武汉,Telephone,郝升-20095,郝升,湖北,Technology,Consumer,89,标准级,提前装运,US-2019-1357144,2019/12/14,-3664,4,￥6,40%,4,7327,"￥10,974"
办公用-装订-10000287,"Wilson Jones 孔加固材料, 实惠",NW,2019/11/22,中国,韩城,Binding Machine,程聪-11620,程聪,陕西,Office Supplies,Consumer,90,标准级,提前装运,CN-2019-5926511,2019/11/17,10,5,￥6,0%,2,42,￥63
办公用-收纳-10001262,"Eldon 搁板, 金属",NW,2019/11/22,中国,韩城,Storage Tool,程聪-11620,程聪,陕西,Office Supplies,Consumer,91,标准级,提前装运,CN-2019-5926511,2019/11/17,186,5,￥6,0%,3,665,￥996
办公用-收纳-10003464,"Rogers 盘, 金属",NW,2019/11/22,中国,韩城,Storage Tool,程聪-11620,程聪,陕西,Office Supplies,Consumer,92,标准级,提前装运,CN-2019-5926511,2019/11/17,244,5,￥6,0%,2,567,￥849
办公用-收纳-10004132,"Rogers 盘, 工业",NW,2019/11/22,中国,韩城,Storage Tool,程聪-11620,程聪,陕西,Office Supplies,Consumer,93,标准级,提前装运,CN-2019-5926511,2019/11/17,255,5,￥6,0%,2,580,￥869
办公用-Supplies-10001876,"Stiletto 大剪刀, 钢",E,2022/5/24,中国,盐城,Supplies,顾黎-16360,顾黎明,江苏,Office Supplies,Consumer,94,二级,准时装运,US-2022-4733722,2022/5/21,-226,3,￥3,40%,3,399,￥597
家具-Chair-10004416,"Novimex 折叠椅, 每套两件",E,2022/5/24,中国,盐城,Chair,顾黎-16360,顾黎明,江苏,Furniture,Consumer,95,二级,准时装运,US-2022-4733722,2022/5/21,-39,3,￥3,40%,5,1183,"￥1,771"
办公用-系固-10001646,"OIC 夹子, 整包",E,2022/5/24,中国,盐城,Fastener,顾黎-16360,顾黎明,江苏,Office Supplies,Consumer,96,二级,准时装运,US-2022-4733722,2022/5/21,-14,3,￥3,40%,5,277,￥415
办公用-Envelope-10004907,"Ames 局间Envelope, 银色",E,2022/5/24,中国,盐城,Envelope,顾黎-16360,顾黎明,江苏,Office Supplies,Consumer,97,二级,准时装运,US-2022-4733722,2022/5/21,66,3,￥3,0%,3,665,￥996
办公用-Art-10002705,"Sanford 荧光笔, 蓝色",E,2022/5/24,中国,盐城,Art,顾黎-16360,顾黎明,江苏,Office Supplies,Consumer,98,二级,准时装运,US-2022-4733722,2022/5/21,-63,3,￥3,80%,2,29,￥44
技术-Equipment-10003039,"爱普生 收据打印机, 耐用",S,2022/11/14,中国,南宁,Equipment,马惠-14335,马惠英,广西,Technology,Business,99,标准级,提前装运,CN-2022-5834341,2022/11/10,612,4,￥6,0%,4,2187,"￥3,275"
办公用-Supplies-10000800,"Elite 修剪器, 工业",E,2020/1/28,中国,泉州,Supplies,涂博-10585,涂博,福建,Office Supplies,Consumer,100,一级,延迟装运,CN-2020-1973789,2020/1/25,48,3,￥1,0%,3,606,￥908
办公用-Tool-10004620,"Cuisinart 咖啡研磨机, 红色",E,2020/1/28,中国,泉州,Tool,涂博-10585,涂博,福建,Office Supplies,Consumer,101,一级,延迟装运,CN-2020-1973789,2020/1/25,223,3,￥1,0%,4,721,"￥1,079"
办公用-Supplies-10000056,"Elite 开信刀, 钢",N,2022/11/18,中国,天津,Supplies,巩松-20680,巩松,天津,Office Supplies,Small Business,102,标准级,提前装运,CN-2022-3766882,2022/11/14,122,4,￥6,0%,2,249,￥373
办公用-装订-10002223,"Avery Binding Machine, 回收",N,2022/10/28,中国,天津,Binding Machine,孙辉-12625,孙辉,天津,Office Supplies,Small Business,103,二级,延迟装运,CN-2022-3665640,2022/10/23,0,5,￥3,0%,3,186,￥278
家具-Utensil-10004678,"Eldon 闹钟, 优质",N,2022/10/28,中国,天津,Utensil,孙辉-12625,孙辉,天津,Furniture,Small Business,104,二级,延迟装运,CN-2022-3665640,2022/10/23,69,5,￥3,0%,9,2316,"￥3,468"
家具-Chair-10003692,"SAFCO 扶手椅, 红色",N,2022/10/28,中国,天津,Chair,孙辉-12625,孙辉,天津,Furniture,Small Business,105,二级,延迟装运,CN-2022-3665640,2022/10/23,947,5,￥3,0%,1,2153,"￥3,225"
家具-Chair-10004126,"Novimex 折叠椅, 黑色",NE,2020/10/12,中国,七台河,Chair,彭伟-21550,彭伟,黑龙江,Furniture,Small Business,106,一级,延迟装运,CN-2020-5378913,2020/10/10,156,2,￥1,0%,7,2607,"￥3,904"
技术-Accessories-10004359,"Memorex 键区, 回收",NE,2020/10/12,中国,七台河,Accessories,彭伟-21550,彭伟,黑龙江,Technology,Small Business,107,一级,延迟装运,CN-2020-5378913,2020/10/10,96,2,￥1,0%,4,803,"￥1,203"
办公用-Supplies-10001026,"Fiskars 修剪器, 锯齿状",E,2021/10/18,中国,徐州,Supplies,巩关-15595,巩关茵,江苏,Office Supplies,Business,108,一级,准时装运,CN-2021-2045726,2021/10/17,82,1,￥1,40%,5,546,￥818
技术-复印-10001588,"Hewlett Copier, 彩色",E,2021/10/18,中国,徐州,Copier,巩关-15595,巩关茵,江苏,Technology,Business,109,一级,准时装运,CN-2021-2045726,2021/10/17,-1485,1,￥1,40%,6,4454,"￥6,670"
办公用-Paper-10003708,"Eaton 计划信息表, 每包 12 个",E,2022/9/15,中国,扬州,Paper,黄娟-15130,黄娟,江苏,Office Supplies,Consumer,110,一级,延迟装运,CN-2022-2328434,2022/9/12,17,3,￥1,0%,3,346,￥518
